Year,Landings,MU
1963,30264,SWNS_BoF
1964,57396,SWNS_BoF
1965,86394,SWNS_BoF
1966,150226,SWNS_BoF
1967,156741,SWNS_BoF
1968,196362,SWNS_BoF
1969,150462,SWNS_BoF
1970,190382,SWNS_BoF
1971,129101,SWNS_BoF
1972,153449,SWNS_BoF
1973,122687,SWNS_BoF
1974,149670,SWNS_BoF
1975,143897,SWNS_BoF
1976,115178,SWNS_BoF
1977,117171,SWNS_BoF
1978,114000,SWNS_BoF
1979,77500,SWNS_BoF
1980,107000,SWNS_BoF
1981,137000,SWNS_BoF
1982,105800,SWNS_BoF
1983,117400,SWNS_BoF
1984,135900,SWNS_BoF
1985,165000,SWNS_BoF
1986,100000,SWNS_BoF
1987,147100,SWNS_BoF
1988,199600,SWNS_BoF
1989,97500,SWNS_BoF
1990,172900,SWNS_BoF
1991,130800,SWNS_BoF
1992,136000,SWNS_BoF
1993,105089,SWNS_BoF
1994,80099,SWNS_BoF
1995,62499,SWNS_BoF
1996,58068,SWNS_BoF
1997,56117,SWNS_BoF
1998,77027,SWNS_BoF
1999,77552,SWNS_BoF
2000,85284,SWNS_BoF
2001,71570,SWNS_BoF
2002,77054,SWNS_BoF
2003,89360,SWNS_BoF
2004,78029,SWNS_BoF
2005,48899,SWNS_BoF
2006,49159,SWNS_BoF
2007,50356,SWNS_BoF
2008,54561,SWNS_BoF
2009,54113,SWNS_BoF
2010,45534,SWNS_BoF
2011,50010,SWNS_BoF
2012,47614,SWNS_BoF
2013,46554,SWNS_BoF
2014,50250,SWNS_BoF
2015,49024,SWNS_BoF
2016,50012,SWNS_BoF
2017,39430,SWNS_BoF
2018,40126,SWNS_BoF
2019,29104,SWNS_BoF
2020,34146,SWNS_BoF
1963,0,Coastal
1964,0,Coastal
1965,0,Coastal
1966,0,Coastal
1967,0,Coastal
1968,0,Coastal
1969,0,Coastal
1970,0,Coastal
1971,0,Coastal
1972,0,Coastal
1973,0,Coastal
1974,0,Coastal
1975,0,Coastal
1976,0,Coastal
1977,0,Coastal
1978,0,Coastal
1979,0,Coastal
1980,0,Coastal
1981,0,Coastal
1982,0,Coastal
1983,0,Coastal
1984,0,Coastal
1985,0,Coastal
1986,0,Coastal
1987,0,Coastal
1988,0,Coastal
1989,0,Coastal
1990,0,Coastal
1991,0,Coastal
1992,0,Coastal
1993,0,Coastal
1994,0,Coastal
1995,0,Coastal
1996,1450,Coastal
1997,2340,Coastal
1998,4120,Coastal
1999,5618,Coastal
2000,4283,Coastal
2001,6006,Coastal
2002,10374.5,Coastal
2003,9162,Coastal
2004,6924,Coastal
2005,6311,Coastal
2006,6566,Coastal
2007,5240,Coastal
2008,3704.22,Coastal
2009,9783,Coastal
2010,5575,Coastal
2011,3605.85,Coastal
2012,3007.25,Coastal
2013,3937,Coastal
2014,4759.61,Coastal
2015,5166,Coastal
2016,7805.35,Coastal
2017,7828.01,Coastal
2018,9965.82,Coastal
2019,13279,Coastal
2020,17089,Coastal
1963,29366,SWNB
1964,29432,SWNB
1965,33346,SWNB
1966,35805,SWNB
1967,30032,SWNB
1968,33145,SWNB
1969,26539,SWNB
1970,15840,SWNB
1971,12660,SWNB
1972,32699,SWNB
1973,19935,SWNB
1974,20602,SWNB
1975,30819,SWNB
1976,29206,SWNB
1977,23487,SWNB
1978,38842,SWNB
1979,37828,SWNB
1980,13525,SWNB
1981,19080,SWNB
1982,25963,SWNB
1983,11383,SWNB
1984,8698,SWNB
1985,27863,SWNB
1986,27883,SWNB
1987,27320,SWNB
1988,33421,SWNB
1989,44112,SWNB
1990,38778,SWNB
1991,24576,SWNB
1992,31967,SWNB
1993,31573,SWNB
1994,22241,SWNB
1995,18248,SWNB
1996,15913,SWNB
1997,20552,SWNB
1998,20091,SWNB
1999,18644,SWNB
2000,16829,SWNB
2001,20209,SWNB
2002,11874,SWNB
2003,9003,SWNB
2004,20686,SWNB
2005,13055,SWNB
2006,12863,SWNB
2007,30944,SWNB
2008,6447,SWNB
2009,4031,SWNB
2010,10958,SWNB
2011,3711,SWNB
2012,504,SWNB
2013,6431,SWNB
2014,2149,SWNB
2015,146,SWNB
2016,4060,SWNB
2017,2102,SWNB
2018,11574,SWNB
2019,4823,SWNB
2020,6212,SWNB
1963,3000,Offshore
1964,2000,Offshore
1965,6000,Offshore
1966,2000,Offshore
1967,1000,Offshore
1968,18000,Offshore
1969,121000,Offshore
1970,87000,Offshore
1971,28000,Offshore
1972,21000,Offshore
1973,14000,Offshore
1974,0,Offshore
1975,0,Offshore
1976,0,Offshore
1977,0,Offshore
1978,0,Offshore
1979,0,Offshore
1980,0,Offshore
1981,0,Offshore
1982,0,Offshore
1983,0,Offshore
1984,0,Offshore
1985,0,Offshore
1986,0,Offshore
1987,0,Offshore
1988,0,Offshore
1989,0,Offshore
1990,0,Offshore
1991,0,Offshore
1992,0,Offshore
1993,0,Offshore
1994,0,Offshore
1995,0,Offshore
1996,11745,Offshore
1997,20261,Offshore
1998,5591,Offshore
1999,12646,Offshore
2000,2182,Offshore
2001,12503,Offshore
2002,7039,Offshore
2003,998,Offshore
2004,4165,Offshore
2005,5263,Offshore
2006,9809,Offshore
2007,5385,Offshore
2008,918,Offshore
2009,9088,Offshore
2010,11862,Offshore
2011,10482,Offshore
2012,1255,Offshore
2013,1515,Offshore
2014,57,Offshore
2015,1803,Offshore
2016,1035,Offshore
2017,3955,Offshore
2018,2926,Offshore
2019,5896,Offshore
2020,677,Offshore
